layer,shape
conv1,"[4, 64, 56, 68, 56]"
bn1,"[4, 64, 56, 68, 56]"
relu,"[4, 64, 56, 68, 56]"
maxpool,"[4, 64, 28, 34, 28]"
layer1.0.conv1,"[4, 64, 28, 34, 28]"
layer1.0.bn1,"[4, 64, 28, 34, 28]"
layer1.0.relu,"[4, 64, 28, 34, 28]"
layer1.0.conv2,"[4, 64, 28, 34, 28]"
layer1.0.bn2,"[4, 64, 28, 34, 28]"
layer1.0.relu,"[4, 64, 28, 34, 28]"
layer1.1.conv1,"[4, 64, 28, 34, 28]"
layer1.1.bn1,"[4, 64, 28, 34, 28]"
layer1.1.relu,"[4, 64, 28, 34, 28]"
layer1.1.conv2,"[4, 64, 28, 34, 28]"
layer1.1.bn2,"[4, 64, 28, 34, 28]"
layer1.1.relu,"[4, 64, 28, 34, 28]"
layer2.0.conv1,"[4, 128, 14, 17, 14]"
layer2.0.bn1,"[4, 128, 14, 17, 14]"
layer2.0.relu,"[4, 128, 14, 17, 14]"
layer2.0.conv2,"[4, 128, 14, 17, 14]"
layer2.0.bn2,"[4, 128, 14, 17, 14]"
layer2.0.downsample.0,"[4, 128, 14, 17, 14]"
layer2.0.downsample.1,"[4, 128, 14, 17, 14]"
layer2.0.relu,"[4, 128, 14, 17, 14]"
layer2.1.conv1,"[4, 128, 14, 17, 14]"
layer2.1.bn1,"[4, 128, 14, 17, 14]"
layer2.1.relu,"[4, 128, 14, 17, 14]"
layer2.1.conv2,"[4, 128, 14, 17, 14]"
layer2.1.bn2,"[4, 128, 14, 17, 14]"
layer2.1.relu,"[4, 128, 14, 17, 14]"
layer3.0.conv1,"[4, 256, 14, 17, 14]"
layer3.0.bn1,"[4, 256, 14, 17, 14]"
layer3.0.relu,"[4, 256, 14, 17, 14]"
layer3.0.conv2,"[4, 256, 14, 17, 14]"
layer3.0.bn2,"[4, 256, 14, 17, 14]"
layer3.0.downsample.0,"[4, 256, 14, 17, 14]"
layer3.0.downsample.1,"[4, 256, 14, 17, 14]"
layer3.0.relu,"[4, 256, 14, 17, 14]"
layer3.1.conv1,"[4, 256, 14, 17, 14]"
layer3.1.bn1,"[4, 256, 14, 17, 14]"
layer3.1.relu,"[4, 256, 14, 17, 14]"
layer3.1.conv2,"[4, 256, 14, 17, 14]"
layer3.1.bn2,"[4, 256, 14, 17, 14]"
layer3.1.relu,"[4, 256, 14, 17, 14]"
layer4.0.conv1,"[4, 512, 14, 17, 14]"
layer4.0.bn1,"[4, 512, 14, 17, 14]"
layer4.0.relu,"[4, 512, 14, 17, 14]"
layer4.0.conv2,"[4, 512, 14, 17, 14]"
layer4.0.bn2,"[4, 512, 14, 17, 14]"
layer4.0.downsample.0,"[4, 512, 14, 17, 14]"
layer4.0.downsample.1,"[4, 512, 14, 17, 14]"
layer4.0.relu,"[4, 512, 14, 17, 14]"
layer4.1.conv1,"[4, 512, 14, 17, 14]"
layer4.1.bn1,"[4, 512, 14, 17, 14]"
layer4.1.relu,"[4, 512, 14, 17, 14]"
layer4.1.conv2,"[4, 512, 14, 17, 14]"
layer4.1.bn2,"[4, 512, 14, 17, 14]"
layer4.1.relu,"[4, 512, 14, 17, 14]"
